notebook_title,count_context,context,average_context
Notizbuch B10,24,.//tei:sourceDoc//tei:add,41.0
Notizbuch B10,362,.//tei:sourceDoc//tei:zone,41.0
Notizbuch B10,1273,.//tei:sourceDoc//tei:line,41.0
Notizbuch B10,694,.//tei:sourceDoc//tei:seg,41.0
Notizbuch B10,1,.//tei:abstract,2.0
Notizbuch E5,1,.//tei:sourceDoc//tei:note[@type='editorial'],46.0
Notizbuch E5,0,.//tei:sourceDoc//tei:note[@type='authorial'],0
Notizbuch E5,135,.//tei:sourceDoc//tei:surface,46.0
Notizbuch E5,147,.//tei:sourceDoc//tei:add,46.0
Notizbuch E5,404,.//tei:sourceDoc//tei:zone,46.0
Notizbuch E5,1906,.//tei:sourceDoc//tei:line,46.0
Notizbuch E5,798,.//tei:sourceDoc//tei:seg,46.0
Notizbuch E5,1,.//tei:abstract,2.0
Notizbuch B7,14,.//tei:sourceDoc//tei:note[@type='editorial'],31.71
Notizbuch B7,2,.//tei:sourceDoc//tei:note[@type='authorial'],3.0
Notizbuch B7,139,.//tei:sourceDoc//tei:surface,1.0
Notizbuch B7,17,.//tei:sourceDoc//tei:add,1.0
Notizbuch B7,216,.//tei:sourceDoc//tei:zone,1.0
Notizbuch B7,856,.//tei:sourceDoc//tei:line,1.0
Notizbuch B7,380,.//tei:sourceDoc//tei:seg,1.0
Notizbuch B7,1,.//tei:abstract,31.0
Notizbuch B6,10,.//tei:sourceDoc//tei:note[@type='editorial'],34.3
Notizbuch B6,4,.//tei:sourceDoc//tei:note[@type='authorial'],2.75
Notizbuch B6,134,.//tei:sourceDoc//tei:surface,2.0
Notizbuch B6,22,.//tei:sourceDoc//tei:add,2.0
Notizbuch B6,286,.//tei:sourceDoc//tei:zone,2.0
Notizbuch B6,1148,.//tei:sourceDoc//tei:line,2.0
Notizbuch B6,452,.//tei:sourceDoc//tei:seg,2.0
Notizbuch B6,1,.//tei:abstract,24.0
Notizbuch C13,0,.//tei:sourceDoc//tei:note[@type='editorial'],0
Notizbuch C13,0,.//tei:sourceDoc//tei:note[@type='authorial'],0
Notizbuch C13,106,.//tei:sourceDoc//tei:surface,24.0
Notizbuch C13,34,.//tei:sourceDoc//tei:add,24.0
Notizbuch C13,104,.//tei:sourceDoc//tei:zone,24.0
Notizbuch C13,875,.//tei:sourceDoc//tei:line,24.0
Notizbuch C13,657,.//tei:sourceDoc//tei:seg,24.0
Notizbuch C13,1,.//tei:abstract,2.0
Notizbuch A9,1,.//tei:sourceDoc//tei:note[@type='editorial'],57.0
Notizbuch A9,4,.//tei:sourceDoc//tei:note[@type='authorial'],3.75
Notizbuch A9,170,.//tei:sourceDoc//tei:surface,1.0
Notizbuch A9,169,.//tei:sourceDoc//tei:add,1.0
Notizbuch A9,381,.//tei:sourceDoc//tei:zone,1.0
Notizbuch A9,2234,.//tei:sourceDoc//tei:line,1.0
Notizbuch A9,1352,.//tei:sourceDoc//tei:seg,1.0
