filename,notebook_title,date_e,date_a,date_f,count_context,context,average_context
22jtg,Notizbuch B14,1880-10-09 1880-10-23 1880-11-18 1880-11-27 1880-12-07 1880-12-11 1880-12-13,,,14,.//tei:sourceDoc//tei:add,6
22jtg,Notizbuch B14,1880-10-09 1880-10-23 1880-11-18 1880-11-27 1880-12-07 1880-12-11 1880-12-13,,,224,.//tei:sourceDoc//tei:zone,6
22jtg,Notizbuch B14,1880-10-09 1880-10-23 1880-11-18 1880-11-27 1880-12-07 1880-12-11 1880-12-13,,,987,.//tei:sourceDoc//tei:line,6
22jtg,Notizbuch B14,1880-10-09 1880-10-23 1880-11-18 1880-11-27 1880-12-07 1880-12-11 1880-12-13,,,488,.//tei:sourceDoc//tei:seg,6
22jtg,Notizbuch B14,1880-10-09 1880-10-23 1880-11-18 1880-11-27 1880-12-07 1880-12-11 1880-12-13,,,1,.//tei:abstract,2
1zzdv,Notizbuch C14,1875,1875,,0,.//tei:sourceDoc//tei:note[@type='editorial'],0
1zzdv,Notizbuch C14,1875,1875,,1,.//tei:sourceDoc//tei:note[@type='authorial'],6
1zzdv,Notizbuch C14,1875,1875,,199,.//tei:sourceDoc//tei:surface,6
1zzdv,Notizbuch C14,1875,1875,,92,.//tei:sourceDoc//tei:add,6
1zzdv,Notizbuch C14,1875,1875,,493,.//tei:sourceDoc//tei:zone,6
1zzdv,Notizbuch C14,1875,1875,,2441,.//tei:sourceDoc//tei:line,6
1zzdv,Notizbuch C14,1875,1875,,1140,.//tei:sourceDoc//tei:seg,6
1zzdv,Notizbuch C14,1875,1875,,1,.//tei:abstract,2
22jtp,Notizbuch A5,1862,,,2,.//tei:sourceDoc//tei:note[@type='editorial'],14
22jtp,Notizbuch A5,1862,,,2,.//tei:sourceDoc//tei:note[@type='authorial'],3
22jtp,Notizbuch A5,1862,,,250,.//tei:sourceDoc//tei:surface,3
22jtp,Notizbuch A5,1862,,,347,.//tei:sourceDoc//tei:add,3
